Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
CA-2016-126225,7/17/2017,7/19/2017,Second Class,ID-28289,Home Office,United States,New York,Illinois,West,Technology,Accessories,41.46,2,0.1,-0.26
CA-2016-688508,2/11/2017,2/17/2017,Same Day,ID-38893,Corporate,United States,Phoenix,New York,West,Furniture,Accessories,346.85,3,0.1,88.31
CA-2018-207175,7/8/2016,7/12/2016,Standard Class,ID-57052,Corporate,United States,Phoenix,New York,West,Technology,Accessories,540.87,7,0,65.35
CA-2018-705397,1/28/2017,2/3/2017,Standard Class,ID-16006,Home Office,United States,Los Angeles,New York,West,Furniture,Chairs,386.32,8,0.2,-10.8
CA-2018-319684,10/4/2019,10/7/2019,Standard Class,ID-89840,Home Office,United States,Los Angeles,Illinois,East,Furniture,Accessories,385.66,9,0.1,60.34
CA-2016-340174,3/6/2016,3/13/2016,First Class,ID-62581,Corporate,United States,New York,Texas,Central,Furniture,Accessories,401.68,8,0.1,2.15
CA-2017-881177,2/23/2019,2/28/2019,First Class,ID-86622,Corporate,United States,Phoenix,Florida,Central,Furniture,Phones,514.43,2,0,125.75
CA-2017-757924,11/23/2016,11/30/2016,Same Day,ID-88172,Consumer,United States,Houston,Florida,South,Technology,Binders,971.37,1,0,167.74
CA-2018-905934,8/5/2019,8/8/2019,Standard Class,ID-48469,Corporate,United States,Los Angeles,Florida,West,Technology,Binders,972.17,3,0,241.3
CA-2018-982554,8/1/2019,8/6/2019,Second Class,ID-30032,Corporate,United States,Los Angeles,Illinois,West,Technology,Binders,493.72,2,0.2,99.33
CA-2018-351083,4/28/2016,4/30/2016,Standard Class,ID-21226,Home Office,United States,Houston,California,East,Furniture,Accessories,947.38,3,0.2,84.18
CA-2019-322086,1/9/2019,1/16/2019,Second Class,ID-50857,Corporate,United States,Chicago,Florida,South,Furniture,Phones,232.45,6,0,31.46
CA-2017-717024,3/27/2017,3/28/2017,Standard Class,ID-92719,Consumer,United States,Los Angeles,California,West,Office Supplies,Chairs,519.01,5,0.3,-5.2
CA-2017-858490,3/15/2019,3/20/2019,Same Day,ID-41850,Corporate,United States,Houston,Texas,West,Furniture,Accessories,360.75,7,0.3,62
CA-2016-806073,8/31/2019,9/6/2019,Standard Class,ID-17944,Corporate,United States,Chicago,California,East,Furniture,Phones,540.92,3,0.3,-10.07
CA-2019-361941,6/3/2016,6/7/2016,Standard Class,ID-16630,Home Office,United States,Phoenix,California,West,Furniture,Phones,412.35,8,0.1,91.24
CA-2016-272634,2/15/2018,2/16/2018,Same Day,ID-44760,Corporate,United States,Chicago,Florida,South,Furniture,Phones,303.74,1,0,60.5
CA-2016-152578,4/11/2019,4/15/2019,Second Class,ID-17455,Home Office,United States,New York,Texas,West,Technology,Chairs,678.46,4,0.3,-24.72
CA-2017-707040,5/2/2019,5/3/2019,Standard Class,ID-64948,Home Office,United States,Phoenix,Illinois,Central,Office Supplies,Phones,673.03,6,0.1,3.78
CA-2017-804318,8/14/2019,8/17/2019,Same Day,ID-51441,Consumer,United States,New York,Florida,West,Furniture,Tables,221.02,5,0.1,54.37
CA-2016-356150,1/26/2018,1/29/2018,Second Class,ID-67433,Home Office,United States,Chicago,Illinois,West,Technology,Tables,306.38,2,0.1,1.6
CA-2016-878480,2/7/2019,2/9/2019,First Class,ID-46930,Home Office,United States,Los Angeles,New York,East,Technology,Binders,510.35,5,0,-32.19
CA-2019-969634,7/20/2017,7/21/2017,Standard Class,ID-53719,Consumer,United States,Chicago,Texas,South,Technology,Accessories,565.3,2,0,157.16
CA-2017-672092,3/14/2016,3/21/2016,First Class,ID-86350,Home Office,United States,Los Angeles,Florida,East,Furniture,Binders,371.01,1,0.2,-4.74
CA-2017-799330,7/29/2016,8/1/2016,Same Day,ID-91351,Home Office,United States,Los Angeles,Texas,East,Furniture,Accessories,34.54,6,0.3,5.34
CA-2017-379766,11/22/2016,11/29/2016,Standard Class,ID-60140,Consumer,United States,Houston,Texas,East,Office Supplies,Binders,312.14,4,0.1,-25.43
CA-2017-517821,11/3/2017,11/6/2017,Standard Class,ID-46585,Corporate,United States,Phoenix,Florida,Central,Furniture,Chairs,878.27,5,0.1,104.52
CA-2018-140115,8/10/2016,8/15/2016,Same Day,ID-55309,Home Office,United States,Chicago,Florida,West,Office Supplies,Tables,198.18,1,0.3,-13.78
CA-2017-481913,6/2/2018,6/3/2018,First Class,ID-91678,Corporate,United States,New York,New York,Central,Technology,Accessories,332.92,5,0.1,-6.97
CA-2019-810219,12/22/2016,12/27/2016,First Class,ID-63225,Home Office,United States,New York,New York,Central,Furniture,Accessories,787.9,10,0.2,54.2
CA-2019-808446,3/13/2017,3/18/2017,Same Day,ID-32241,Home Office,United States,New York,New York,Central,Furniture,Phones,676.07,4,0.1,-24.98
CA-2016-356736,8/31/2018,9/5/2018,Standard Class,ID-69692,Corporate,United States,Phoenix,Texas,South,Office Supplies,Accessories,251.54,1,0,53.17
CA-2017-284430,11/26/2019,12/1/2019,Same Day,ID-16582,Home Office,United States,Los Angeles,California,South,Furniture,Accessories,670.9,9,0.2,150.29
CA-2019-742412,10/30/2018,11/3/2018,Same Day,ID-30861,Home Office,United States,Houston,Florida,Central,Furniture,Binders,768.16,9,0.3,81.03
CA-2018-561239,6/7/2016,6/13/2016,First Class,ID-40735,Corporate,United States,Chicago,New York,West,Furniture,Phones,238.95,3,0.1,-15.98
CA-2019-446954,1/16/2019,1/20/2019,Same Day,ID-18161,Consumer,United States,Houston,Florida,West,Technology,Accessories,482.21,6,0.2,77.69
CA-2019-664365,1/23/2019,1/30/2019,Second Class,ID-73993,Consumer,United States,Chicago,Florida,South,Furniture,Accessories,342.77,7,0.1,72.87
